profile_id,tm_id,apif_id,first_initial,first_name,middle_name,last_name,name_prefix,nickname,display_name,date_of_birth,birth_country,birth_city,nationality,nationality_secondary,height_cm,foot,photo_url,position,sub_position,current_club,data_confidence,needs_curation,curation_reason,match_tier,source_records
PROF-0020,315138,apif_37253,M,Mats,,Knoester,,,Mats Knoester,1998-11-19,Netherlands,Alphen aan den Rijn,Netherlands,,188,left,https://img.a.transfermarkt.technology/portrait/header/315138-1567761193.jpg?lm=1,Defender,Centre-Back,Aberdeen Football Club,VERIFIED,False,,Tier 2,TM:315138 + APIF:apif_37253
PROF-0021,934317,apif_394735,M,Maxim,Bora,Dal,,,Maxim Dal,2006-01-26,Germany,Nagold,Germany,,188,left,https://img.a.transfermarkt.technology/portrait/header/934317-1722886472.jpg?lm=1,Defender,Centre-Back,1. Fußball- und Sportverein Mainz 05,VERIFIED,False,,Tier 2,TM:934317 + APIF:apif_394735
PROF-0022,557611,apif_282136,N,Noam,Fritz,Emeran,,,Noam Emeran,2002-09-24,France,Paray-le-Monial,France,,179,left,https://img.a.transfermarkt.technology/portrait/header/557611-1764059010.png?lm=1,Attack,Left Winger,Football Club Groningen,VERIFIED,False,,Tier 2,TM:557611 + APIF:apif_282136
PROF-0023,314965,apif_30768,P,Pedro,,Pereira,,,Pedro Pereira,1998-01-22,Portugal,Vendas Novas,Portugal,,185,right,https://img.a.transfermarkt.technology/portrait/header/314965-1754986954.png?lm=1,Defender,Right-Back,Gençlerbirliği Spor Kulübü,VERIFIED,False,,Tier 2,TM:314965 + APIF:apif_30768
PROF-0024,578391,apif_21138,R,Rayan,,Aït-Nouri,,,Rayan Aït-Nouri,2001-06-06,France,Montreuil,Algeria,,181,left,https://media.api-sports.io/football/players/21138.png,Defender,Left-Back,Manchester City,VERIFIED,False,,Tier 2,TM:578391 + APIF:apif_21138
PROF-0025,792331,apif_338958,R,Roony,,Bardghji,,,Roony Bardghji,2005-11-15,Kuwait,Kuwait City,Sweden,,173,left,https://img.a.transfermarkt.technology/portrait/header/792331-1667420074.jpg?lm=1,Attack,Right Winger,Futbol Club Barcelona,VERIFIED,False,,Tier 2,TM:792331 + APIF:apif_338958
PROF-0026,555015,apif_152857,R,Ruan,,Tressoldi,,,Ruan Tressoldi,1999-06-07,Brazil,Tramandaí,Brazil,,187,right,https://img.a.transfermarkt.technology/portrait/header/555015-1695028065.jpg?lm=1,Defender,Centre-Back,Unione Sportiva Sassuolo Calcio,VERIFIED,False,,Tier 2,TM:555015 + APIF:apif_152857
PROF-0027,111627,apif_50270,R,Ryan,,Mendes,,,Ryan Mendes,1990-01-08,Cape Verde,Fogo,Cape Verde,,178,right,https://img.a.transfermarkt.technology/portrait/header/111627-1695219605.png?lm=1,Attack,Left Winger,Fatih Karagümrük Sportif Faaliyetler San. Tic. A.Ş.,VERIFIED,False,,Tier 2,TM:111627 + APIF:apif_50270
PROF-0028,80059,apif_25053,S,Serdar,,Dursun,,,Serdar Dursun,1991-10-19,Germany,Offenbach am Main,Türkiye,,189,right,https://media.api-sports.io/football/players/25053.png,Attack,Centre-Forward,Kocaelispor,VERIFIED,False,,Tier 2,TM:80059 + APIF:apif_25053
PROF-0029,430797,apif_37453,S,Sam,,Kersten,,,Sam Kersten,1998-01-30,Netherlands,Nijmegen,Netherlands,,190,left,https://media.api-sports.io/football/players/37453.png,Defender,Centre-Back,Heerenveen,VERIFIED,False,,Tier 2,TM:430797 + APIF:apif_37453
PROF-0030,220650,apif_53643,V,Vladimir,,Iljin,,,Vladimir Iljin,1992-05-20,Russia,St. Petersburg,Russia,,189,right,https://img.a.transfermarkt.technology/portrait/header/220650-1722312532.png?lm=1,Attack,Centre-Forward,FK Sochi,VERIFIED,False,,Tier 2,TM:220650 + APIF:apif_53643
PROF-0031,,apif_6053,A,Agustín,,Bouzat,,,Agustín Bouzat,1994-03-28,Argentina,Bahía Blanca,Argentina,,173,,https://media.api-sports.io/football/players/6053.png,Midfielder,,Velez Sarsfield,PROJECTED,False,,Tier 4 (unique),APIF:apif_6053
PROF-0032,,apif_278373,G,Gonzalo,Agustín,Sández,,,Gonzalo Sández,2001-01-16,Argentina,Lanús,Argentina,,179,,https://media.api-sports.io/football/players/278373.png,Defender,,Rosario Central,PROJECTED,False,,Tier 4 (unique),APIF:apif_278373
PROF-0033,381206,,A,Adrián,,Riera,,,Adrián Riera,1996-04-19,Spain,Murcia,Spain,,178,right,https://img.a.transfermarkt.technology/portrait/header/381206-1739292241.jpg?lm=1,Midfield,Attacking Midfield,Panserraikos Serres,PROJECTED,False,,Tier 4 (unique),TM:381206
PROF-0034,518943,,A,Ahmed,Yasser,Rayan,,,Ahmed Yasser Rayan,1998-01-24,Egypt,Kairo,Egypt,,185,right,https://img.a.transfermarkt.technology/portrait/header/518943-1556019282.jpg?lm=1,Attack,Centre-Forward,Altay SK,PROJECTED,False,,Tier 4 (unique),TM:518943
PROF-0035,,apif_142289,A,Aílson,Júnior Mendes,Tavares,,,Aílson Tavares,,,,Cape Verde Islands,,,,https://media.api-sports.io/football/players/142289.png,Midfielder,,,ORPHAN,True,missing_dob,Tier 4 (unique),APIF:apif_142289
PROF-0036,51164,,A,Aleksandrs,,Cauna,,,Aleksandrs Cauna,1988-01-19,UdSSR,Daugavpils,Latvia,,175,left,https://img.a.transfermarkt.technology/portrait/header/51164-1471707744.jpg?lm=1,Midfield,Defensive Midfield,PFK CSKA Moskva,PROJECTED,False,,Tier 4 (unique),TM:51164
PROF-0037,16828,,A,Alessandro,,Potenza,,,Alessandro Potenza,1984-03-08,Italy,Apricena,Italy,,185,right,https://img.a.transfermarkt.technology/portrait/header/16828-1476880793.jpg?lm=1,Defender,Centre-Back,Catania FC,PROJECTED,False,,Tier 4 (unique),TM:16828
PROF-0038,18644,,Á,Álvaro,,Negredo,,,Álvaro Negredo,1985-08-20,Spain,Madrid,Spain,,186,left,https://img.a.transfermarkt.technology/portrait/header/18644-1663139293.jpg?lm=1,Attack,Centre-Forward,Cádiz CF,PROJECTED,False,,Tier 4 (unique),TM:18644
PROF-0039,142281,,A,Anthony,,Ujah,,,Anthony Ujah,1990-10-14,Nigeria,Ugbokolo,Nigeria,,180,right,https://img.a.transfermarkt.technology/portrait/header/142281-1665658131.jpg?lm=1,Attack,Centre-Forward,1. Fußballclub Union Berlin,PROJECTED,False,,Tier 4 (unique),TM:142281
PROF-0040,,apif_51001,B,,,Bye,,,B. Bye,1995-11-29,USA,Kalamazoo,USA,,183,,https://media.api-sports.io/football/players/51001.png,Defender,,New England Revolution,ORPHAN,True,initial_only,Tier 4 (unique),APIF:apif_51001
PROF-0041,5406,,B,Benoît,,Pedretti,,,Benoît Pedretti,1980-11-12,France,Audincourt,France,,178,right,https://img.a.transfermarkt.technology/portrait/header/5406-1517243197.jpg?lm=1,Midfield,Defensive Midfield,AS Nancy-Lorraine,PROJECTED,False,,Tier 4 (unique),TM:5406
PROF-0042,,apif_6416,C,,,Lattanzio,,,C. Lattanzio,,,,,,,,https://media.api-sports.io/football/players/6416.png,Attacker,,San Martin S.J.,ORPHAN,True,initial_only; missing_dob; missing_nationality,Tier 4 (unique),APIF:apif_6416
PROF-0043,66099,,C,Carles,,Planas,,,Carles Planas,1991-03-04,Spain,Sant Celoni,Spain,,175,left,https://img.a.transfermarkt.technology/portrait/header/66099-1447160275.jpg?lm=1,Defender,Left-Back,Girona Fútbol Club S. A. D.,PROJECTED,False,,Tier 4 (unique),TM:66099
PROF-0044,373300,,,,,,,Cryzan,Cryzan,1996-07-07,Brazil,Sud Menucci,Brazil,,190,both,https://img.a.transfermarkt.technology/portrait/header/373300-1520764732.jpg?lm=1,Attack,Centre-Forward,Clube Desportivo Santa Clara,PROJECTED,False,,Tier 4 (unique),TM:373300
PROF-0045,259881,,D,Damian,,Szymański,,,Damian Szymański,1995-06-16,Poland,Kraśnik,Poland,,185,right,https://img.a.transfermarkt.technology/portrait/header/259881-1754429147.png?lm=1,Midfield,Defensive Midfield,Athlitiki Enosi Konstantinoupoleos,PROJECTED,False,,Tier 4 (unique),TM:259881
PROF-0046,269864,,D,Daniel,,Guimarães,,,Daniel Guimarães,1987-04-18,Brazil,Timoteo,Brazil,,189,right,https://img.a.transfermarkt.technology/portrait/header/269864-1534845524.jpg?lm=1,Goalkeeper,Goalkeeper,Clube Desportivo Nacional,PROJECTED,False,,Tier 4 (unique),TM:269864
PROF-0047,22594,,D,Daniele,,Galloppa,,,Daniele Galloppa,1985-05-15,Italy,Roma,Italy,,181,left,https://img.a.transfermarkt.technology/portrait/header/22594-1452590898.jpg?lm=1,Midfield,Central Midfield,Parma Calcio 1913,PROJECTED,False,,Tier 4 (unique),TM:22594
PROF-0048,241706,,D,Danny,,Williams,,,Danny Williams,1988-01-25,England,Leigh,England,,175,left,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Midfield,Left Midfield,Dundee Football Club,PROJECTED,False,,Tier 4 (unique),TM:241706
PROF-0049,235274,,D,Dario,,Buijs,Van den,,Dario Van den Buijs,1995-09-12,Belgium,Lier,Belgium,,187,left,https://img.a.transfermarkt.technology/portrait/header/235274-1627302126.jpg?lm=1,Defender,Centre-Back,RKC Waalwijk,PROJECTED,False,,Tier 4 (unique),TM:235274
PROF-0050,672248,,D,Denis,,Kovacevic,,,Denis Kovacevic,2002-12-12,Austria,Wien,Bosnia-Herzegovina,,181,left,https://img.a.transfermarkt.technology/portrait/header/672248-1665480790.png?lm=1,Defender,Left-Back,Istanbulspor,PROJECTED,False,,Tier 4 (unique),TM:672248
PROF-0051,213894,,D,Dimitrios,,Bourous,,,Dimitrios Bourous,1993-02-23,Greece,Mytilini,Greece,,183,right,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Attack,Centre-Forward,AEL Kalloni,PROJECTED,False,,Tier 4 (unique),TM:213894
PROF-0052,160510,,D,Dimitrios,,Stamou,,,Dimitrios Stamou,1991-04-27,Greece,Thessaloniki,Greece,,185,right,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Defender,Centre-Back,AO Platanias,PROJECTED,False,,Tier 4 (unique),TM:160510
PROF-0053,343870,,D,Dmitriy,,Pletnev,,,Dmitriy Pletnev,1998-01-16,Russia,St. Petersburg,Russia,,178,right,https://img.a.transfermarkt.technology/portrait/header/343870-1567155325.png?lm=1,Attack,Left Winger,AO FK Zenit Sankt-Peterburg,PROJECTED,False,,Tier 4 (unique),TM:343870
PROF-0054,,apif_201354,E,,,Makgopa,,,E. Makgopa,,,,South Africa,,,,https://media.api-sports.io/football/players/201354.png,Attacker,,,ORPHAN,True,initial_only; missing_dob,Tier 4 (unique),APIF:apif_201354
PROF-0055,876263,,E,Ejaita,,Ifoni,,,Ejaita Ifoni,2000-02-13,,,Nigeria,,187,right,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Attack,Centre-Forward,RFC Seraing,PROJECTED,False,,Tier 4 (unique),TM:876263
PROF-0056,,apif_50749,F,,,Picault,,,F. Picault,1991-02-23,USA,New York,Haiti,,173,,https://media.api-sports.io/football/players/50749.png,Attacker,,Vancouver Whitecaps,ORPHAN,True,initial_only,Tier 4 (unique),APIF:apif_50749
PROF-0057,187601,,F,Fabian,,Sporkslede,,,Fabian Sporkslede,1993-08-03,Netherlands,Amstelveen,Suriname,,178,right,https://img.a.transfermarkt.technology/portrait/header/187601-1635094291.png?lm=1,Defender,Right-Back,RKC Waalwijk,PROJECTED,False,,Tier 4 (unique),TM:187601
PROF-0058,746753,,F,Frankie,,Maguire,,,Frankie Maguire,2003-07-29,,,England,,175,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Midfield,Central Midfield,Sheffield United,PROJECTED,False,,Tier 4 (unique),TM:746753
PROF-0059,278648,,F,Furkan,,Simsek,,,Furkan Simsek,1997-07-17,Germany,Höxter,Turkey,,185,left,https://img.a.transfermarkt.technology/portrait/header/278648-1478269943.jpg?lm=1,Midfield,Central Midfield,Çaykur Rizespor Kulübü,PROJECTED,False,,Tier 4 (unique),TM:278648
PROF-0060,42513,,G,Gary,,Hooper,,,Gary Hooper,1988-01-26,England,Loughton,England,,177,right,https://img.a.transfermarkt.technology/portrait/header/s_42513_1123_2013_08_05_1.jpg?lm=1,Attack,Centre-Forward,Norwich City,PROJECTED,False,,Tier 4 (unique),TM:42513
PROF-0061,265266,,G,Gautam,,Kalpoe,,,Gautam Kalpoe,1991-09-19,Netherlands,Rotterdam,Netherlands,,188,right,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Defender,Centre-Back,Nooit Opgeven Altijd Doorzetten Aangenaam Door Vermaak En Nuttig Door Ontspanning Combinatie Breda,PROJECTED,False,,Tier 4 (unique),TM:265266
PROF-0062,254063,,G,Giannis,,Stamatakis,,,Giannis Stamatakis,1994-06-26,Greece,Larymna,Greece,,179,right,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Midfield,Attacking Midfield,Panathinaikos Athlitikos Omilos,PROJECTED,False,,Tier 4 (unique),TM:254063
PROF-0063,550492,,G,Giorgi,,Gagua,,,Giorgi Gagua,2001-10-10,Georgia,Tiflis,Georgia,,193,right,https://img.a.transfermarkt.technology/portrait/header/550492-1664571546.jpg?lm=1,Attack,Centre-Forward,Deportivo Alavés S. A. D.,PROJECTED,False,,Tier 4 (unique),TM:550492
PROF-0064,62751,,G,Giuseppe,,Luca,De,,Giuseppe De Luca,1991-10-11,Italy,Angera,Italy,,168,both,https://img.a.transfermarkt.technology/portrait/header/62751-1641772772.jpg?lm=1,Attack,Centre-Forward,Atalanta Bergamasca Calcio S.p.a.,PROJECTED,False,,Tier 4 (unique),TM:62751
PROF-0065,567148,,H,Harry,,Stone,,,Harry Stone,2002-04-20,Scotland,Edinburgh,Scotland,,191,right,https://img.a.transfermarkt.technology/portrait/header/567148-1757443144.jpg?lm=1,Goalkeeper,Goalkeeper,Heart of Midlothian Football Club,PROJECTED,False,,Tier 4 (unique),TM:567148
PROF-0066,290872,,J,Jérémie,,Porsan-Clémente,,,Jérémie Porsan-Clémente,1997-12-16,Martinique,Schoelcher,France,,179,right,https://img.a.transfermarkt.technology/portrait/header/290872-1678956870.png?lm=1,Attack,Centre-Forward,Montpellier HSC,PROJECTED,False,,Tier 4 (unique),TM:290872
PROF-0067,181795,,J,Jonathan,,Vervoort,,,Jonathan Vervoort,1993-08-13,Belgium,Brussel,Belgium,,184,right,https://img.a.transfermarkt.technology/portrait/header/s_181795_3892_2012_1.jpg?lm=1,Defender,Centre-Back,Fodbold Club Nordsjælland,PROJECTED,False,,Tier 4 (unique),TM:181795
PROF-0068,184992,,J,Juan,,Delgado,,,Juan Delgado,1993-03-05,,Santiago de Chile,,,176,right,https://img.a.transfermarkt.technology/portrait/header/184992-1579704152.png?lm=1,Defender,Right-Back,FC Paços de Ferreira,PARTIAL,True,missing_nationality,Tier 4 (unique),TM:184992
PROF-0069,,apif_6192,L,,,Gamba,,,L. Gamba,1987-06-24,Argentina,San Rafael,Argentina,,165,,https://media.api-sports.io/football/players/6192.png,Attacker,,Union Santa Fe,ORPHAN,True,initial_only,Tier 4 (unique),APIF:apif_6192
PROF-0070,192507,,L,Léo,,Navacchio,,,Léo Navacchio,1992-12-28,Brazil,Piacatu,Brazil,,192,right,https://img.a.transfermarkt.technology/portrait/header/192507-1441721464.jpg?lm=1,Goalkeeper,Goalkeeper,Portimonense SC,PROJECTED,False,,Tier 4 (unique),TM:192507
PROF-0071,616283,,L,Louis,,Pelletier,,,Louis Pelletier,2000-02-03,France,Ajaccio,France,,186,right,https://img.a.transfermarkt.technology/portrait/header/616283-1604009836.png?lm=1,Goalkeeper,Goalkeeper,Racing Club de Strasbourg Alsace,PROJECTED,False,,Tier 4 (unique),TM:616283
PROF-0072,156721,,L,Luka,,Milunovic,,,Luka Milunovic,1992-12-21,Yugoslavia (Republic),Belgrade,Serbia,,180,right,https://img.a.transfermarkt.technology/portrait/header/156721-1639683526.jpeg?lm=1,Midfield,Attacking Midfield,AO Platanias,PROJECTED,False,,Tier 4 (unique),TM:156721
PROF-0073,904371,,M,Maksym,,Kucheryavyi,,,Maksym Kucheryavyi,2002-05-09,Ukraine,Kyiv,Ukraine,,176,left,https://img.a.transfermarkt.technology/portrait/header/904371-1643309992.png?lm=1,Midfield,Central Midfield,St. Johnstone FC,PROJECTED,False,,Tier 4 (unique),TM:904371
PROF-0074,14069,,M,Mamady,,Sidibé,,,Mamady Sidibé,1979-12-18,Mali,Bamako,Mali,,193,right,https://img.a.transfermarkt.technology/portrait/header/s_14069_512_2009_1.jpg?lm=1,Attack,Centre-Forward,Stoke City,PROJECTED,False,,Tier 4 (unique),TM:14069
PROF-0075,46236,,M,Manolis,,Moniakis,,,Manolis Moniakis,1988-11-09,Greece,Heraklion,Greece,,178,left,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Defender,Left-Back,Athlitiki Enosi Larisas,PROJECTED,False,,Tier 4 (unique),TM:46236
PROF-0076,298607,,M,Miguel,,Olavide,,,Miguel Olavide,1996-04-05,Spain,Pamplona,Spain,,180,left,https://img.a.transfermarkt.technology/portrait/header/298607-1490624539.jpg?lm=1,Attack,Right Winger,Club Atlético Osasuna,PROJECTED,False,,Tier 4 (unique),TM:298607
PROF-0077,54651,,M,Mihael,,Kovacevic,,,Mihael Kovacevic,1988-03-06,Switzerland,Basel,Switzerland,,193,right,https://img.a.transfermarkt.technology/portrait/header/54651-1645290827.png?lm=1,Defender,Right-Back,Ross County FC,PROJECTED,False,,Tier 4 (unique),TM:54651
PROF-0078,,apif_366531,N,,,Ordaz,,,N. Ordaz,2004-01-12,USA,Van Nuys,El Salvador,,180,,https://media.api-sports.io/football/players/366531.png,Attacker,,Los Angeles FC,ORPHAN,True,initial_only,Tier 4 (unique),APIF:apif_366531
PROF-0079,818104,,N,Noa,,Wyns,,,Noa Wyns,2003-02-20,,,Belgium,,192,right,https://img.a.transfermarkt.technology/portrait/header/818104-1678046832.jpg?lm=1,Defender,Centre-Back,Royal Antwerp Football Club,PROJECTED,False,,Tier 4 (unique),TM:818104
PROF-0080,51541,,P,Patrick,,Salomon,,,Patrick Salomon,1988-06-10,Austria,Wien,Austria,,180,right,https://img.a.transfermarkt.technology/portrait/header/51541-1565958342.jpg?lm=1,Midfield,Central Midfield,APS Atromitos Athinon,PROJECTED,False,,Tier 4 (unique),TM:51541
PROF-0081,379084,,P,Pavel,,Shakuro,,,Pavel Shakuro,1997-07-25,Russia,Tyumen,Russia,,180,left,https://img.a.transfermarkt.technology/portrait/header/379084-1668697804.png?lm=1,Defender,Left-Back,FK Sochi,PROJECTED,False,,Tier 4 (unique),TM:379084
PROF-0082,365544,,P,Pontus,,Dahlberg,,,Pontus Dahlberg,1999-01-21,Sweden,Älvängen,Sweden,,194,right,https://img.a.transfermarkt.technology/portrait/header/365544-1497953992.jpg?lm=1,Goalkeeper,Goalkeeper,Watford FC,PROJECTED,False,,Tier 4 (unique),TM:365544
PROF-0083,,apif_442340,R,,,Enad Hamoud Al Mutairi,bin,,R. bin Enad Hamoud Al Mutairi,2000-12-25,Saudi Arabia,,Saudi Arabia,,170,,https://media.api-sports.io/football/players/442340.png,Attacker,,Al-Fayha,ORPHAN,True,initial_only,Tier 4 (unique),APIF:apif_442340
PROF-0084,275483,,R,Ricardo,,Kieboom,,,Ricardo Kieboom,1991-09-20,Netherlands,Ridderkerk,Netherlands,,187,right,https://img.a.transfermarkt.technology/portrait/header/275483-1494424665.jpg?lm=1,Goalkeeper,Goalkeeper,Sparta Rotterdam,PROJECTED,False,,Tier 4 (unique),TM:275483
PROF-0085,,apif_619704,S,,,Kabakusak,,,S. Kabakusak,,,,,,,,https://media.api-sports.io/football/players/619704.png,Goalkeeper,,Antalyaspor,ORPHAN,True,initial_only; missing_dob; missing_nationality,Tier 4 (unique),APIF:apif_619704
PROF-0086,45846,,S,Saidi,,Ntibazonkiza,,,Saidi Ntibazonkiza,1987-05-01,Burundi,Bujumbura,Burundi,,170,right,https://img.a.transfermarkt.technology/portrait/header/s_45846_5689_2013_09_06_1.jpg?lm=1,Midfield,Attacking Midfield,SM Caen,PROJECTED,False,,Tier 4 (unique),TM:45846
PROF-0087,43521,,S,Scott,,Robertson,,,Scott Robertson,1985-04-07,Scotland,Dundee,Scotland,,183,right,https://img.a.transfermarkt.technology/portrait/header/s_43521_903_2013_08_08_1.jpg?lm=1,Midfield,Central Midfield,Hibernian Football Club,PROJECTED,False,,Tier 4 (unique),TM:43521
PROF-0088,226151,,S,Sean,,Kelly,,,Sean Kelly,1993-11-01,Scotland,Glasgow,Scotland,,188,left,https://img.a.transfermarkt.technology/portrait/header/226151-1634025398.jpg?lm=1,Defender,Centre-Back,Dundee Football Club,PROJECTED,False,,Tier 4 (unique),TM:226151
PROF-0089,,apif_644377,S,Shunya,,Sakai,,,Shunya Sakai,,,,,,,,https://media.api-sports.io/football/players/644377.png,Defender,,New York Red Bulls,ORPHAN,True,missing_dob; missing_nationality,Tier 4 (unique),APIF:apif_644377
PROF-0090,375854,,S,Sodiq,,Fatai,,,Sodiq Fatai,1996-06-04,Nigeria,Lagos,Nigeria,,178,right,https://img.a.transfermarkt.technology/portrait/header/375854-1550237364.jpg?lm=1,Attack,Left Winger,FC Paços de Ferreira,PROJECTED,False,,Tier 4 (unique),TM:375854
PROF-0091,,apif_304782,T,,,Hayakawa,,,T. Hayakawa,1999-03-03,Japan,,Japan,,187,,https://media.api-sports.io/football/players/304782.png,Goalkeeper,,Kashima,ORPHAN,True,initial_only,Tier 4 (unique),APIF:apif_304782
PROF-0092,685760,,T,Tamaz,,Topuriya,,,Tamaz Topuriya,2002-01-29,,,Russia,,170,right,https://img.a.transfermarkt.technology/portrait/header/685760-1636036877.png?lm=1,Attack,Right Winger,FK Rostov,PROJECTED,False,,Tier 4 (unique),TM:685760
